               Name                      E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T64-2_G025T34-5_C9ES       10710.833        0.191        1731.706       11772.577      2779.434       1731.706         0.31           2.597       0.00669911   
    L20G012T64-2_G027T34-1_C9ES       8164.019         0.099         747.059       8345.584        916.995        747.059         0.258          4.972       0.00557376   
    L20G012T64-2_G027T34-3_C9ES       10781.804        0.194         1854.99       11892.433      2862.447        1854.99         0.321          2.434       0.00692624   
          L20G012T64-5ES              4795.282         0.329        3120.493       7079.223       3471.035       3120.493         0.308          0.578       0.00666307   
    L20G012T64-5_G012T34-7_C9ES       8447.851         0.322        5639.142       12170.11       5779.905       5639.142         0.42           0.567       0.00906268   
    L20G012T64-5_G013T34-0_C9ES       12149.91         0.268        5718.054       15116.349      5534.401       5718.054         0.426          0.838       0.00920811   
    L20G012T64-5_G015T34-2_C9ES       13335.756        0.274         6199.13       16813.046       6345.42        6199.13         0.445          0.844       0.00961781   
    L20G012T64-5_G017T34-0_C9ES       13863.365        0.279        6475.194       17681.174      6841.952       6475.194         0.455          0.837       0.00982983   
    L20G012T64-5_G023T34-1_C9ES       13321.665        0.258        4846.769       16234.406      5644.847       4846.769         0.408          1.092       0.00882266   
    L20G012T64-5_G025T34-1_C9ES       13680.16         0.264        5158.031       16876.404      6053.493       5158.031         0.427          1.049       0.00921927   
    L20G012T64-5_G027T34-0_C9ES       13804.965        0.268        5333.859       17175.491      6288.294       5333.859         0.436          1.021       0.00942788   
          L20G012T64-9ES              18445.568        0.254        6712.568       22303.254      7593.869       6712.568         0.485          1.096       0.01048049   
          L20G0134T64-0ES             1736.791         0.329        1201.685       2564.006       1257.165       1201.685         0.156          0.544       0.00336076   
          L20G0134T64-1ES             1765.949         0.299        1245.932       2370.615       1011.147       1245.932         0.18           0.546       0.00389109   
          L20G0134T64-2ES             1738.387         0.329        1202.456       2566.362       1258.321       1202.456         0.156          0.544       0.00336076   
          L20G0134T64-3ES             1772.437         0.299        1246.612       2379.324       1014.862       1246.612         0.18           0.547       0.00389111   
          L20G0135T64-0ES             1716.037         0.301        1207.271       2316.559        997.546       1207.271         0.17           0.546       0.00367548   
          L20G0135T64-1ES             1720.796         0.301        1205.461       2322.984       1000.312       1205.461         0.17           0.549        0.0036754   
          L20G0137T64-0ES             2199.165         0.293        1449.323       2904.547       1203.723       1449.323         0.193          0.587       0.00416514   
