         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T64-2_G017T34-4_C9S        5081.005         0.218        1740.643       5784.023       1612.426       1740.643         0.202          1.198       0.00435568   
    L20G012T64-2_G023T34-2_C9S        7056.148         0.161         865.18        7520.864       1443.217        865.18          0.213          3.512       0.00460699   
    L20G012T64-2_G025T34-2_C9S        6274.896         0.113         587.442       6460.915        823.093        587.442         0.198          4.799       0.00428593   
    L20G012T64-2_G025T34-5_C9S        7444.016         0.192        1124.172       8191.467       1946.487       1124.172         0.228          2.778       0.00492924   
    L20G012T64-2_G027T34-1_C9S         5823.22         0.096         494.171       5944.423        631.266        494.171         0.191          5.376        0.0041252   
    L20G012T64-2_G027T34-3_C9S        7493.987         0.195        1197.652       8275.821       2004.702       1197.652         0.236          2.618       0.00509071   
           L20G012T64-5S              2928.069         0.337        2093.902       4453.955       2263.926       2093.902         0.236          0.523       0.00509097   
    L20G012T64-5_G012T34-7_C9S         5378.57         0.338        3985.455       8213.414       4193.556       3985.455         0.331          0.504        0.0071414   
    L20G012T64-5_G013T34-0_C9S        7640.015         0.277        3885.891       9698.549       3715.765       3885.891         0.334          0.77        0.00720985   
    L20G012T64-5_G015T34-2_C9S        8357.679         0.285        4189.685       10814.841      4310.811       4189.685         0.348          0.776       0.00751801   
    L20G012T64-5_G017T34-0_C9S        8694.885         0.291        4358.293       11423.72        4688.72       4358.293         0.355          0.773       0.00767446   
    L20G012T64-5_G023T34-1_C9S        9107.258         0.254        3240.493       11011.94       3749.374       3240.493         0.321          1.121       0.00694349   
    L20G012T64-5_G025T34-1_C9S        9357.137         0.261         3422.4        11472.14        4051.73        3422.4          0.336          1.084       0.00724731   
    L20G012T64-5_G027T34-0_C9S        9438.947         0.264        3510.182       11644.271      4176.749       3510.182         0.343          1.064       0.00740263   
           L20G012T64-9S              12185.238        0.252        4579.662       14677.416      4944.798       4579.662         0.368          1.063       0.00795407   
    L20G012T64-9_G013T34-1_C9S        18438.927        0.223        6600.407       21145.621       6068.82       6600.407         0.466          1.142        0.0100652   
    L20G012T64-9_G015T34-15_C9S       19154.696        0.238        7108.976       22499.782      7027.491       7108.976         0.48           1.088       0.01037336   
    L20G012T64-9_G017T34-5_C9S        19462.922        0.245        7358.473       23142.777      7509.908       7358.473         0.487          1.062       0.01052981   
    L20G012T64-9_G023T34-2_C9S        15492.761        0.257        5292.565       18842.828       6517.64       5292.565         0.431          1.164       0.00932014   
    L20G012T64-9_G025T34-5_C9S        15748.544        0.26          5489.03       19269.052      6770.207        5489.03         0.446          1.139       0.00962396   
    L20G012T64-9_G027T34-3_C9S        15827.863        0.262        5587.065       19445.197      6903.308       5587.065         0.453          1.122       0.00977929   
          L20G0134T64-0S              1147.052         0.331         823.811       1705.746        843.949        823.811         0.117          0.523       0.00252377   
          L20G0134T64-1S              1036.988         0.297         746.44        1384.405        584.876        746.44          0.13           0.536        0.0028003   
          L20G0134T64-2S              1147.956         0.331         824.02        1707.091        844.614        824.02          0.117          0.523       0.00252377   
          L20G0134T64-3S              1034.489         0.294         739.789       1369.932        570.482        739.789         0.13           0.54        0.00279917   
          L20G0135T64-0S               988.33          0.298         712.62        1323.071        561.645        712.62          0.121          0.534       0.00260283   
          L20G0135T64-1S               987.886          0.3          711.18        1329.847        569.934        711.18          0.12           0.534       0.00260172   
          L20G0137T64-0S              1250.566         0.293         858.222       1651.685        684.503        858.222         0.136          0.563       0.00294372   
          L20G0137T64-1S              1247.437         0.293         856.142       1647.552        682.79         856.142         0.136          0.563       0.00294264   
          L20G0138T64-1S              2233.837         0.18          752.663       2425.512        532.429        752.663         0.202          1.258        0.0043675   
          L20G0138T64-2S              2234.463         0.18          752.931       2426.191        532.579        752.931         0.202          1.257        0.0043675   
           L20G013T34-0S              1981.001         0.342        1284.665       3073.767       1597.612       1284.665         0.137          0.575       0.00296167   
    L20G013T34-0_G0124T64-3_C9S       10383.591        0.242        4343.205       12281.332      3920.953       4343.205         0.37           0.962       0.00798647   
    L20G013T34-0_G0128T64-1_C9S        8193.39         0.273        3686.807       10306.561      3870.277       3686.807         0.325          0.873        0.0070284   
    L20G013T34-0_G0134T64-0_C9S       3935.447         0.316        2232.589       5558.357       2567.896       2232.589         0.228          0.67        0.00491772   
    L20G013T34-0_G0135T64-1_C9S       3753.694         0.324        2130.949       5444.712       2609.596       2130.949         0.236          0.665       0.00508746   
    L20G013T34-0_G0137T64-1_C9S       4030.981         0.318        2253.659       5730.313       2671.905       2253.659         0.251          0.679       0.00542759   
