         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T64-10_G025T34-5_C9S       10449.319        0.262        3857.291       12837.429      4557.461       3857.291         0.361          1.073       0.00779059   
    L20G012T64-10_G027T34-3_C9S       10545.057        0.265        3968.513       13036.106      4700.093       3968.513         0.369          1.05        0.00796038   
           L20G012T64-1S              13728.535        0.252        5106.825       16536.355      5571.071       5106.825          0.4           1.074       0.00863722   
    L20G012T64-1_G012T34-4_C9S        16007.583        0.273        7032.769       20136.126      7561.434       7032.769         0.486          0.894        0.0104929   
    L20G012T64-1_G012T34-7_C9S        18510.602        0.272        7844.413       23232.715      8680.355       7844.413          0.5           0.928       0.01080221   
    L20G012T64-1_G023T34-1_C9S        17115.818        0.257        5883.044       20816.846      7200.443       5883.044         0.463          1.157       0.00999077   
    L20G012T64-1_G025T34-1_C9S        17411.41         0.26         6121.108       21303.643      7485.064       6121.108         0.478          1.129       0.01032096   
    L20G012T64-1_G027T34-0_C9S        17504.453        0.262        6240.721       21504.958      7634.551       6240.721         0.486          1.111       0.01049075   
           L20G012T64-2S               3756.01         0.097         383.204       3835.949        412.057        383.204         0.105          4.467        0.0022707   
    L20G012T64-2_G013T34-0_C9S        6729.802         0.253        2464.392       8121.661        2750.71       2464.392         0.246          1.09        0.00531614   
    L20G012T64-2_G015T34-11_C9S       5976.208         0.233         2162.88       6961.723       2114.839        2162.88         0.23           1.12        0.00496603   
    L20G012T64-2_G015T34-2_C9S        7589.212         0.264        2679.451       9362.362       3358.239       2679.451         0.262          1.12        0.00566088   
    L20G012T64-2_G017T34-0_C9S        8055.064         0.264        2783.702       9937.056       3564.379       2783.702         0.27           1.145       0.00582788   
    L20G012T64-2_G017T34-4_C9S        5656.959         0.221        1965.887       6468.009       1834.955       1965.887         0.222          1.178       0.00479008   
    L20G012T64-2_G023T34-2_C9S        7833.675         0.16          971.618       8342.149       1588.981        971.618         0.233          3.475       0.00503942   
    L20G012T64-2_G025T34-2_C9S        6956.758         0.113         662.423       7162.991        912.534        662.423         0.217          4.718       0.00468557   
    L20G012T64-2_G025T34-5_C9S         8277.77         0.191        1272.555       9098.329        2148.06       1272.555         0.25           2.731       0.00539489   
    L20G012T64-2_G027T34-1_C9S        6435.581         0.096         555.869        6569.53        697.649        555.869         0.209          5.282       0.00450837   
    L20G012T64-2_G027T34-3_C9S        8339.525         0.194        1358.364       9198.576       2214.049       1358.364         0.258          2.571        0.0055731   
           L20G012T64-5S              3370.632         0.335        2352.033       5087.891       2563.073       2352.033         0.255          0.537       0.00551384   
    L20G012T64-5_G012T34-7_C9S         6136.4          0.333        4418.329       9193.119       4589.668       4418.329         0.356          0.521       0.00767924   
    L20G012T64-5_G013T34-0_C9S        8726.846         0.275        4345.354       11027.387      4182.802       4345.354         0.359          0.788       0.00776413   
    L20G012T64-5_G015T34-2_C9S        9562.047         0.282        4695.234       12282.897      4824.202       4695.234         0.375          0.794       0.00810028   
    L20G012T64-5_G017T34-0_C9S        9932.046         0.288        4886.144       12949.023      5237.807       4886.144         0.383          0.789       0.00827162   
    L20G012T64-5_G023T34-1_C9S        10180.743        0.255        3649.731       12333.773      4221.627       3649.731         0.345          1.111        0.0074604   
    L20G012T64-5_G025T34-1_C9S        10456.169        0.262        3857.849       12845.844      4560.449       3857.849         0.361          1.074       0.00779059   
    L20G012T64-5_G027T34-0_C9S        10538.754        0.265        3964.896       13028.314      4697.283       3964.896         0.369          1.051       0.00796038   
           L20G012T64-9S              13729.108        0.252        5107.303       16537.045      5571.304       5107.303          0.4           1.074       0.00863648   
    L20G012T64-9_G023T34-2_C9S        17114.568        0.257        5880.711       20815.326      7199.917       5880.711         0.463          1.158       0.00999077   
    L20G012T64-9_G025T34-5_C9S        17408.141        0.26         6121.555       21299.643      7483.658       6121.555         0.478          1.128       0.01032096   
    L20G012T64-9_G027T34-3_C9S        17500.934        0.262        6237.571       21500.635      7633.017       6237.571         0.486          1.112       0.01049075   
          L20G0134T64-0S               1291.41         0.331         920.057       1920.417        950.161        920.057         0.127          0.527       0.00274586   
          L20G0134T64-1S              1197.524         0.299         857.89        1607.559        685.678        857.89          0.143          0.537        0.0030788   
          L20G0134T64-2S              1291.043         0.33          919.163       1912.868        942.159        919.163         0.127          0.528       0.00274586   
          L20G0134T64-3S              1201.411         0.296         855.551       1599.555        672.54         855.551         0.143          0.542       0.00308184   
          L20G0135T64-0S              1151.593          0.3          823.802       1550.221        664.381        823.802         0.133          0.538       0.00287389   
          L20G0135T64-1S              1153.974          0.3          823.033       1553.427        665.754        823.033         0.133          0.539       0.00287544   
          L20G0137T64-0S               1451.54         0.291         987.965       1907.097        782.744        987.965         0.151          0.569        0.0032522   
          L20G0137T64-1S              1447.287         0.292         986.778       1906.479        786.288        986.778         0.151          0.568        0.0032554   
          L20G0138T64-1S              2771.589         0.171         860.174       2981.951        615.095        860.174         0.222          1.376       0.00480506   
          L20G0138T64-2S              2779.141         0.17          859.514       2987.163        611.829        859.514         0.222          1.382       0.00480506   
           L20G013T34-0S               2231.73         0.341        1449.401       3448.825       1784.597       1449.401         0.152          0.574       0.00327454   
    L20G013T34-0_G0124T64-3_C9S       11964.901        0.242        4909.081       14151.648      4518.072       4909.081         0.401          0.981       0.00867113   
    L20G013T34-0_G0128T64-1_C9S       9321.648         0.27         4145.662       11648.071      4308.191       4145.662         0.354          0.885       0.00764119   
    L20G013T34-0_G0134T64-0_C9S       4434.529         0.314        2501.378        6223.48       2848.648       2501.378         0.247          0.675       0.00533164   
    L20G013T34-0_G0135T64-1_C9S       4299.353         0.322        2419.841       6193.717       2941.559       2419.841         0.258          0.672       0.00556571   
    L20G013T34-0_G0137T64-1_C9S       4635.924         0.316        2570.386       6547.699        3024.96       2570.386         0.275          0.685        0.0059424   
    L20G013T34-0_G0138T64-2_C9S       6173.427         0.26         3197.405       7553.466        2653.92       3197.405         0.343          0.766       0.00740935   
    L20G013T34-0_G0145T64-0_C9S       4356.207         0.322        2644.187       6275.622       2980.457       2644.187         0.259          0.623       0.00559702   
    L20G013T34-0_G014T64-0_C9S        9721.016         0.258        4368.687       11846.486      4119.129       4368.687         0.375          0.884        0.0080964   
    L20G013T34-0_G014T64-2_C9S        7334.905         0.15         2316.676       7744.931       1366.752       2316.676         0.353          1.377       0.00762485   
    L20G013T34-0_G0156T64-1_C9S       4444.771         0.31          2288.16       6160.892       2767.937        2288.16         0.253          0.741       0.00546259   
