Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness1,Thickness2
L20G0T33-2_G01T63-0_C9S,8965.474,0.255,3242.839,10861.498,3717.694,3242.839,0.239,0.908,0.00516933,0.6,0.4
L20G0T33-2_G01T63-1_C9S,6688.019,0.284,2942.903,8633.0,3424.263,2942.903,0.247,1.13,0.00534314,0.6,0.4
L20G0T33-2_G01T63-3_C9S,7437.941,0.261,2900.374,9119.146,3220.7,2900.374,0.247,0.983,0.00532589,0.6,0.4
L20G0T33-2_G01T63-4_C9S,6907.59,0.272,3011.548,8669.738,3239.243,3011.548,0.248,1.109,0.00534869,0.6,0.4
L20G0T33-2_G01T63-5_C9S,7560.236,0.258,2812.433,9213.258,3203.532,2812.433,0.239,0.936,0.00516644,0.6,0.4
L20G0T33-2_G01T63-6_C9S,6638.962,0.202,2014.402,7395.241,1871.978,2014.402,0.234,0.729,0.00506172,0.6,0.4
L20G0T33-2_G01T63-7_C9S,8151.14,0.258,3691.267,9933.362,3453.918,3691.267,0.271,1.139,0.00585754,0.6,0.4
L20G0T33-2_G01T63-9_C9S,7881.58,0.227,2678.741,9094.013,2670.558,2678.741,0.234,0.834,0.00506039,0.6,0.4
L20G0T33-2_G023T34-1_C6S,5598.529,0.268,2505.436,6965.428,2550.184,2505.436,0.18,1.135,0.00389368,0.6,0.4
L20G0T33-2_G023T64-0_C9S,7114.319,0.271,3049.332,8909.428,3312.01,3049.332,0.233,1.09,0.00502487,0.6,0.4
L20G0T33-2_G025T34-1_C6S,5853.129,0.278,2860.47,7447.516,2867.603,2860.47,0.186,1.249,0.00401768,0.6,0.4
L20G0T33-2_G025T34-4_C6S,5127.805,0.265,2084.405,6339.142,2285.541,2084.405,0.175,1.028,0.00376978,0.6,0.4
L20G0T33-2_G025T64-3_C9S,4349.163,0.303,2150.452,5904.7,2566.892,2150.452,0.182,1.289,0.00394191,0.6,0.4
L20G0T33-2_G027T34-0_C6S,5897.245,0.28,2968.03,7539.092,2931.869,2968.03,0.189,1.288,0.00407969,0.6,0.4
L20G0T33-2_G027T34-2_C6S,4859.793,0.268,1880.136,6046.327,2213.682,1880.136,0.172,0.981,0.00370782,0.6,0.4
L20G0T33-2_G028T64-0_C9S,4499.6,0.3,1775.097,6057.154,2595.923,1775.097,0.181,1.026,0.00390826,0.6,0.4
L20G0T33-2_G028T64-1_C9S,3496.161,0.32,2058.773,5002.924,2354.317,2058.773,0.183,1.555,0.00394389,0.6,0.4
L20G0T33-2_G02T34-5_C6S,4536.827,0.302,2337.699,6141.882,2657.376,2337.699,0.191,1.342,0.00412453,0.6,0.4
L20G0T33-2_G03T63-0_C9S,5518.914,0.281,2420.652,7072.277,2763.992,2420.652,0.197,1.124,0.00426316,0.6,0.4
L20G0T33-2_G048T64-0_C9S,5810.852,0.237,1587.199,6814.106,2116.57,1587.199,0.212,0.676,0.00457954,0.6,0.4
L20G0T33-2_G058T64-2_C9S,6138.135,0.224,1652.504,7049.814,2034.998,1652.504,0.219,0.659,0.00474012,0.6,0.4
L20G0T33-2_G058T64-6_C9S,4518.294,0.31,2490.636,6262.802,2813.723,2490.636,0.197,1.444,0.00426433,0.6,0.4
L20G0T33-2_G05T63-0_C9S,5720.239,0.282,2355.418,7347.915,2885.95,2355.418,0.201,1.056,0.0043437,0.6,0.4
L20G0T33-2_G05T63-1_C9S,6007.608,0.265,2396.312,7426.78,2677.682,2396.312,0.201,1.009,0.00434093,0.6,0.4
L20G0T33-2_G068T64-3_C9S,4242.218,0.312,2237.09,5916.43,2683.032,2237.09,0.192,1.384,0.00413964,0.6,0.4
L20G0T33-2_G08T64-1_C9S,4406.466,0.316,2598.599,6223.616,2875.238,2598.599,0.229,1.552,0.00493881,0.6,0.4
L20G0T33-2_G0T33-3_C6S,6756.359,0.273,3251.737,8498.903,3191.473,3251.737,0.197,1.225,0.00426569,0.6,0.4
L20G0T33-2_G0T33-4_C6S,4950.505,0.304,2899.602,6740.546,2944.147,2899.602,0.209,1.528,0.004513,0.6,0.4
L20G0T33-2_G0T34-0_C6S,6383.753,0.254,1974.418,7718.844,2628.132,1974.418,0.176,0.776,0.00379796,0.6,0.4
L20G0T33-3_G0124T64-4_C9S,6070.543,0.251,2053.609,7298.317,2445.764,2053.609,0.201,0.846,0.00434857,0.6,0.4
L20G0T33-3_G0125T64-0_C9S,6511.537,0.241,2194.119,7688.184,2441.176,2194.119,0.212,0.836,0.00458432,0.6,0.4
L20G0T33-3_G0125T64-2_C9S,5448.826,0.293,2577.311,7196.536,2982.44,2577.311,0.222,1.223,0.00479714,0.6,0.4
L20G0T33-3_G0128T64-1_C9S,6409.929,0.258,2449.567,7811.44,2716.107,2449.567,0.212,0.961,0.00458324,0.6,0.4
L20G0T33-3_G0128T64-3_C9S,5566.177,0.3,2522.887,7492.931,3211.256,2522.887,0.217,1.178,0.00468557,0.6,0.4
L20G0T33-3_G012T34-7_C6S,4776.538,0.294,2445.788,6325.377,2634.081,2445.788,0.177,1.325,0.00382032,0.6,0.4
L20G0T33-3_G012T64-0_C9S,5179.144,0.265,1635.438,6402.608,2308.423,1635.438,0.164,0.799,0.0035383,0.6,0.4
L20G0T33-3_G012T64-10_C9S,5211.423,0.307,2829.095,7158.576,3171.26,2829.095,0.229,1.419,0.00493665,0.6,0.4
L20G0T33-3_G012T64-1_C9S,8165.802,0.282,3405.082,10489.355,4119.774,3405.082,0.28,1.069,0.00605112,0.6,0.4
L20G0T33-3_G012T64-5_C9S,5368.712,0.29,2459.716,7035.411,2873.618,2459.716,0.224,1.182,0.00484341,0.6,0.4
L20G0T33-3_G012T64-9_C9S,10340.934,0.255,4184.08,12527.841,4288.053,4184.08,0.292,1.016,0.00631279,0.6,0.4
L20G0T33-3_G0134T64-2_C9S,4051.825,0.308,1778.509,5582.36,2484.634,1778.509,0.171,1.148,0.00368946,0.6,0.4
L20G0T33-3_G0135T64-0_C9S,3924.79,0.312,1758.251,5473.728,2482.272,1758.251,0.17,1.176,0.00367934,0.6,0.4
L20G0T33-3_G0137T64-0_C9S,4002.296,0.31,1803.437,5547.578,2492.39,1803.437,0.177,1.181,0.00383146,0.6,0.4
L20G0T33-3_G0138T64-2_C9S,4688.933,0.283,1961.602,6037.773,2383.11,1961.602,0.208,1.073,0.00448396,0.6,0.4
L20G0T33-3_G013T34-0_C6S,5057.596,0.286,2434.343,6560.812,2628.0,2434.343,0.181,1.238,0.00390518,0.6,0.4
L20G0T33-3_G0145T64-1_C9S,3948.354,0.31,1692.143,5472.809,2458.798,1692.143,0.169,1.123,0.00365131,0.6,0.4
L20G0T33-3_G014T64-3_C9S,5159.958,0.231,1717.198,5991.453,1799.773,1717.198,0.211,0.819,0.00456098,0.6,0.4
L20G0T33-3_G014T64-4_C9S,5697.795,0.287,2661.057,7409.829,2982.638,2661.057,0.228,1.202,0.00493058,0.6,0.4
L20G0T33-3_G0156T64-0_C9S,4135.758,0.302,1691.948,5598.921,2422.456,1691.948,0.169,1.065,0.00365121,0.6,0.4
L20G0T33-3_G0158T64-0_C9S,4667.528,0.299,2091.951,6265.702,2672.532,2091.951,0.202,1.164,0.00437026,0.6,0.4
L20G0T33-3_G0158T64-3_C9S,4992.049,0.293,2236.686,6593.248,2732.421,2236.686,0.22,1.159,0.00475278,0.6,0.4
L20G0T33-3_G0158T64-5_C9S,4214.433,0.283,1696.232,5426.776,2141.949,1696.232,0.195,1.033,0.00421523,0.6,0.4
L20G0T33-3_G015T34-11_C6S,4472.79,0.295,2092.64,5939.009,2485.117,2092.64,0.175,1.212,0.0037812,0.6,0.4
L20G0T33-3_G015T34-2_C6S,5741.336,0.278,2769.874,7305.271,2812.833,2769.874,0.187,1.233,0.00402912,0.6,0.4
L20G0T33-3_G015T64-1_C9S,4729.28,0.249,1652.602,5664.594,1878.141,1652.602,0.2,0.873,0.0043256,0.6,0.4
L20G0T33-3_G015T64-7_C9S,4352.84,0.3,1805.923,5859.592,2511.254,1805.923,0.179,1.079,0.00386634,0.6,0.4
L20G0T33-3_G0178T64-2_C9S,5001.671,0.301,2351.71,6751.992,2907.51,2351.71,0.226,1.223,0.00488719,0.6,0.4
L20G0T33-3_G0178T64-3_C9S,4016.942,0.287,1594.411,5223.925,2102.758,1594.411,0.189,1.022,0.00408088,0.6,0.4
