Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness,ID,Type,Fp
L20G02T34-4_G08T64-1_C9S,11142.28,0.255,4909.398,13498.656,4620.345,4909.398,0.422,0.904,0.00910691,1.0,"[39, 50]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 0, 0, 0, 10, 10, 10, 6.667, 3.333, 10, 3.333, 0, 6.667]"
L20G02T34-5S,2838.641,0.308,2232.102,3910.908,1740.693,2232.102,0.183,2.057,0.00395081,1.0,"[40, -1]","[0, 0, 0, 0, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G02T34-5_G0125T64-1_C9S,9571.182,0.241,3980.154,11300.712,3588.237,3980.154,0.37,1.032,0.00798374,1.0,"[40, 148]","[0, 0, 0, 0, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 0, 5, 0, 3.333, 6.667, 3.333, 5, 5, 10]"
L20G02T34-5_G012T64-0_C9S,7126.65,0.225,2849.537,8197.631,2379.957,2849.537,0.268,1.021,0.00579589,1.0,"[40, 53]","[0, 1, 0, 1, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 10, 0, 10, 5, 0, 5, 0, 0, 5]"
L20G02T34-5_G012T64-2_C9S,7910.26,0.241,3031.36,9339.658,2965.557,3031.36,0.265,1.051,0.00573268,1.0,"[40, 55]","[0, 0, 0, 1, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 0, 0, 0, 10, 5, 0, 10, 5, 0, 5]"
L20G02T34-5_G013T34-0_C6S,6116.453,0.307,3836.36,8401.754,3721.989,3836.36,0.308,0.61,0.00665973,1.0,"[40, 61]","[0, 0, 0, 0, 0, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 10, 10, 10, 5, 5, 5, 0, 0, 5]"
L20G02T34-5_G0156T64-1_C9S,4410.698,0.299,3040.886,5920.933,2525.476,3040.886,0.265,0.558,0.00571326,1.0,"[40, 158]","[0, 0, 0, 1, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 5, 0, 10, 7.5, 5, 7.5, 6.667, 6.667, 6.667]"
L20G02T34-5_G015T34-11_C6S,5484.334,0.304,3534.142,7467.401,3261.623,3534.142,0.292,0.595,0.00630473,1.0,"[40, 82]","[0, 0, 0, 0, 0, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 10, 10, 10, 6.667, 6.667, 6.667, 0, 0, 5]"
L20G02T34-5_G015T34-2_C6S,6759.284,0.315,4138.558,9516.205,4376.065,4138.558,0.325,0.621,0.00701425,1.0,"[40, 76]","[0, 0, 0, 0, 0, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 10, 10, 10, 3.333, 3.333, 3.333, 0, 0, 5]"
L20G02T34-5_G017T34-0_C6S,7055.134,0.319,4274.865,10062.341,4713.49,4274.865,0.333,0.626,0.00719103,1.0,"[40, 95]","[0, 0, 0, 0, 0, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 10, 10, 10, 2.5, 2.5, 2.5, 0, 0, 5]"
